date,pmb,text
1931-05-01,14,"Burgtheater"
1929-08-09,113,"Türkenschanzpark"
1921-04-11,50,"Wien"
1921-04-11,,"Russen"
1931-02-08,168,"Berlin"
1931-02-08,96,"Meissl"
1889-08-03,50,"Wien"
1889-08-03,213,"Ischl"
1920-05-26,,"span."
1929-06-24,189,"Semmering"
1914-11-19,44053,"New York"
1914-11-19,151,"Deutschland"
1916-07-02,,"Czechen"
1928-07-07,,"Josefstadt-Theater-Zustände"
1921-04-05,90372,"Bodenbach"
1921-04-05,63,"Hietzing"
1921-04-05,,"französ."
1888-09-20,182,"Paris"
1888-09-20,224,"London"
1888-09-20,43406,"Amerika"
1888-09-20,90938,"Isle of Wight"
1888-09-20,224,"London"
1888-09-20,91417,"Ostende"
1888-09-20,50,"Wien"
1889-08-17,431,"Mariazell"
1889-08-17,36515,"Neuberg"
1889-08-17,483,"Reichenau"
1898-01-14,124,"Augarten"
1898-01-14,20,"Volkstheater"
1929-06-30,189,"Semmering"
1929-06-30,,"engl."
1929-06-30,,"Wienerin"
1929-06-30,41240,"Oesterreich"
1930-04-22,168,"Berlin"
1930-04-22,50,"Wien"
1899-09-07,415,"Aussee"
1898-08-30,886,"Mailand"
1898-08-30,44210,"Parma"
1898-08-30,896,"Bologna"
1931-05-15,189,"Semmering"
1931-05-15,39955,"Agram"
1906-06-06,,"Frankfurter"
1907-07-31,91526,"Pragsthal"
1917-01-28,574,"Kahlenberg"
1917-01-28,431,"Mariazell"
1920-02-13,,"russisch"
1920-02-13,,"poln."
1920-02-13,313,"Polen"
1920-02-13,50,"Wien"
1920-02-13,46224,"Lemberg"
1898-08-18,562,"Genf"
1898-08-18,916,"Interlaken"
1898-08-18,88187,"Mürren"
1921-03-24,484,"Zürich"
1907-07-19,91867,"Taisten"
1906-08-03,726,"Helsingör"
1905-11-02,169,"Pötzleinsdorf"
1905-11-02,170,"Neuwaldegg"
1905-11-02,955,"Teplitz"
1917-06-09,54760,"Böckstein"
1916-09-13,30,"Salzburg"
1915-10-12,,"Niederländer"
1915-10-12,415,"Aussee"
1915-10-12,14,"Burgtheater"
1915-10-12,43471,"Budapest"
1888-07-25,91348,"Newport"
1888-07-25,91626,"Ryde"
1888-07-25,224,"London"
1929-06-18,587,"Wr. Neustadt"
1929-06-18,189,"Semmering"
1928-09-02,45258,"München"
1928-09-02,,"Isargegend"
1928-09-02,51263,"Mauerkircherstr."
1928-09-02,91016,"Kaufingerstr."
1928-09-02,91369,"Nymphenburg"
1928-09-02,92467,"Pschorrbräu"
1928-09-02,462,"Venedig"
1928-09-02,91143,"Lido"
1928-09-02,462,"Venedig"
1928-09-02,168,"Berlin"
1923-12-22,20,"Volksth."
1923-12-22,91304,"Moskauer"
1929-08-21,45258,"München"
1929-08-21,484,"Zürich"
1929-08-21,677,"Breslau"
1929-08-21,1223,"Bern"
1929-08-21,50004,"Lausanne"
1931-02-20,772,"Marienbad"
1888-07-31,224,"London"
1888-07-31,90048,"Dover"
1888-07-31,91417,"Ostende"
1888-07-31,91417,"Ostende"
1928-09-16,91143,"Lido"
1928-09-16,224,"London"
1915-10-06,264,"Serbien"
1915-10-06,506,"Hamburg"
1915-10-06,,"montenegr."
1915-10-06,,"Montenegr."
1915-10-06,860,"Graz"
1915-10-06,,"Serben"
1916-09-07,91576,"Reitern"
1907-09-20,20,"Volkstheater"
1907-09-20,652,"Prag"
1907-09-20,,"deutscher"
1907-09-20,,"Russisch"
1907-09-20,34438,"Russland"
1907-09-20,,"russ."
1907-09-20,,"Wiener"
1906-08-17,2351,"Ilmenau"
1906-08-17,44240,"Eisenach"
1906-08-17,197,"Weimar"
1898-06-21,51088,"Langenzersdorf"
1898-06-21,865,"Klosterneuburg"
1929-01-05,168,"Berlin"
1929-01-05,,"amerik."
1929-01-05,,"ung."
1891-05-23,662,"Baden"
1921-03-30,575,"Stadtpark"
1921-03-30,43435,"Schweiz"
1921-03-30,40306,"Italien"
1921-03-30,45709,"Cincinnati"
1931-05-29,168,"Berlin"
1931-05-29,58,"Josefstadt"
1924-01-12,90705,"Gersthof"
1894-07-01,54769,"Stockerau"
1894-07-01,41239,"Tulln"
1894-07-01,50,"Wien"
1908-11-01,68,"Dornbach"
1908-11-01,90687,"Galitzinberg"
1908-11-01,168,"Berlin"
1913-02-01,,"Oesterr."
1913-05-08,39615,"Preßburg"
1918-10-11,,"Berliner"
1918-10-11,50,"Wien"
1918-10-11,50,"Wiens"
1919-11-26,,"Loew"
1925-09-01,12589,"Celerina"
1925-09-01,44374,"St. Moritz"
1927-11-23,906,"Taormina"
1924-08-22,12589,"Celerina"
1924-08-22,2448,"Chur"
1924-08-22,967,"Luzern"
1924-08-22,,"Seelisberger"
1924-08-22,40306,"Oberitalien"
1924-08-22,512,"Genfersee"
1924-08-22,35496,"Schladming"
1924-08-22,967,"Luzern"
1925-09-15,263,"Florenz"
1925-09-15,48621,"Fiesole"
1926-10-14,462,"Venedig"
